TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,15.0,1.23,-200,0.09210526315789473,0.03339099352749873,76
0.5,15.0,1.23,-160,0.11842105263157894,0.03730907073357323,76
0.5,15.0,1.23,-120,0.13157894736842105,0.039032623616292964,76
0.5,15.0,1.23,-80,0.2894736842105263,0.052367759847716834,76
0.5,15.0,1.23,-40,0.6710526315789473,0.0542513898107587,76
0.5,15.0,1.23,0,0.8289473684210527,0.043480820110153424,76
0.5,15.0,1.23,40,0.8947368421052632,0.0354368594328494,76
0.5,15.0,1.23,80,0.9333333333333333,0.02899725574672267,75
0.5,15.0,1.23,120,0.9605263157894737,0.022484220382414558,76
0.5,15.0,1.23,160,0.9473684210526315,0.0257841025556124,76
0.5,15.0,1.23,200,0.9866666666666667,0.013333333333333332,75
1.0,5.0,1.23,-200,0.14473684210526316,0.04062644272599794,76
1.0,5.0,1.23,-160,0.15789473684210525,0.04210526315789473,76
1.0,5.0,1.23,-120,0.24,0.049647405419264996,75
1.0,5.0,1.23,-80,0.42105263157894735,0.057010795822006737,76
1.0,5.0,1.23,-40,0.6578947368421053,0.05478068419647718,76
1.0,5.0,1.23,0,0.75,0.04999999999999999,76
1.0,5.0,1.23,40,0.7236842105263158,0.051635307553548906,76
1.0,5.0,1.23,80,0.8533333333333334,0.04112531205098986,75
1.0,5.0,1.23,120,0.9210526315789473,0.031137262016313772,76
1.0,5.0,1.23,160,0.8947368421052632,0.035436859432849396,76
1.0,5.0,1.23,200,0.9473684210526315,0.025784102555612403,76
1.0,15.0,0.03,-200,0.05263157894736842,0.025784102555612403,76
1.0,15.0,0.03,-160,0.04,0.02277979189805998,75
1.0,15.0,0.03,-120,0.13157894736842105,0.03903262361629298,76
1.0,15.0,0.03,-80,0.17105263157894737,0.04348082011015344,76
1.0,15.0,0.03,-40,0.3333333333333333,0.054799662435119086,75
1.0,15.0,0.03,0,0.7894736842105263,0.047075115315785045,76
1.0,15.0,0.03,40,0.8421052631578947,0.04210526315789474,76
1.0,15.0,0.03,80,0.9868421052631579,0.013157894736842105,76
1.0,15.0,0.03,120,1.0,0.0,76
1.0,15.0,0.03,160,0.9736842105263158,0.018483603075180245,76
1.0,15.0,0.03,200,0.9868421052631579,0.013157894736842105,76
1.0,15.0,0.22,-200,0.039473684210526314,0.022484220382414554,76
1.0,15.0,0.22,-160,0.06578947368421052,0.028626612056281957,76
1.0,15.0,0.22,-120,0.11842105263157894,0.03730907073357323,76
1.0,15.0,0.22,-80,0.13157894736842105,0.03903262361629298,76
1.0,15.0,0.22,-40,0.49333333333333335,0.05811865258054231,75
1.0,15.0,0.22,0,0.8133333333333334,0.04529516145960462,75
1.0,15.0,0.22,40,0.96,0.022779791898059978,75
1.0,15.0,0.22,80,0.9868421052631579,0.013157894736842105,76
1.0,15.0,0.22,120,1.0,0.0,75
1.0,15.0,0.22,160,1.0,0.0,76
1.0,15.0,0.22,200,0.9868421052631579,0.013157894736842105,76
1.0,15.0,1.23,-200,0.02631578947368421,0.018483603075180245,76
1.0,15.0,1.23,-160,0.10526315789473684,0.0354368594328494,76
1.0,15.0,1.23,-120,0.09210526315789473,0.03339099352749873,76
1.0,15.0,1.23,-80,0.25,0.049999999999999996,76
1.0,15.0,1.23,-40,0.7368421052631579,0.050846935951541876,76
1.0,15.0,1.23,0,0.868421052631579,0.03903262361629297,76
1.0,15.0,1.23,40,0.9605263157894737,0.022484220382414558,76
1.0,15.0,1.23,80,0.9733333333333334,0.01872834084351176,75
1.0,15.0,1.23,120,0.9868421052631579,0.013157894736842105,76
1.0,15.0,1.23,160,0.9736842105263158,0.01848360307518024,76
1.0,15.0,1.23,200,0.9868421052631579,0.013157894736842105,76
1.0,15.0,4.7,-200,0.013157894736842105,0.013157894736842105,76
1.0,15.0,4.7,-160,0.06666666666666667,0.028997255746722673,75
1.0,15.0,4.7,-120,0.14473684210526316,0.04062644272599795,76
1.0,15.0,4.7,-80,0.6710526315789473,0.0542513898107587,76
1.0,15.0,4.7,-40,0.8289473684210527,0.04348082011015344,76
1.0,15.0,4.7,0,0.9736842105263158,0.018483603075180245,76
1.0,15.0,4.7,40,0.9868421052631579,0.013157894736842105,76
1.0,15.0,4.7,80,0.9733333333333334,0.01872834084351176,75
1.0,15.0,4.7,120,1.0,0.0,76
1.0,15.0,4.7,160,0.9868421052631579,0.013157894736842105,76
1.0,15.0,4.7,200,0.9868421052631579,0.013157894736842105,76
1.0,25.0,1.23,-200,0.0,0.0,76
1.0,25.0,1.23,-160,0.013333333333333334,0.013333333333333334,75
1.0,25.0,1.23,-120,0.06666666666666667,0.028997255746722673,75
1.0,25.0,1.23,-80,0.18421052631578946,0.044762634463765175,76
1.0,25.0,1.23,-40,0.8947368421052632,0.035436859432849396,76
1.0,25.0,1.23,0,0.9210526315789473,0.03113726201631377,76
1.0,25.0,1.23,40,0.9866666666666667,0.013333333333333332,75
1.0,25.0,1.23,80,0.96,0.022779791898059974,75
1.0,25.0,1.23,120,0.9733333333333334,0.01872834084351176,75
1.0,25.0,1.23,160,0.9736842105263158,0.018483603075180245,76
1.0,25.0,1.23,200,0.9868421052631579,0.013157894736842105,76
3.0,15.0,1.23,-200,0.013157894736842105,0.013157894736842105,76
3.0,15.0,1.23,-160,0.013157894736842105,0.013157894736842106,76
3.0,15.0,1.23,-120,0.07894736842105263,0.03113726201631377,76
3.0,15.0,1.23,-80,0.34210526315789475,0.05478068419647718,76
