TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,15.0,1.23,-200,0.02631578947368421,0.02631578947368421,38
0.5,15.0,1.23,-160,0.07894736842105263,0.04433127181293719,38
0.5,15.0,1.23,-120,0.07894736842105263,0.04433127181293719,38
0.5,15.0,1.23,-80,0.3157894736842105,0.07641750223933595,38
0.5,15.0,1.23,-40,0.7894736842105263,0.06702258315442244,38
0.5,15.0,1.23,0,0.9210526315789473,0.044331271812937195,38
0.5,15.0,1.23,40,0.9473684210526315,0.03670978065594293,38
0.5,15.0,1.23,80,0.972972972972973,0.027027027027027025,37
0.5,15.0,1.23,120,0.9473684210526315,0.03670978065594293,38
0.5,15.0,1.23,160,0.9210526315789473,0.04433127181293719,38
0.5,15.0,1.23,200,1.0,0.0,37
1.0,5.0,1.23,-200,0.13157894736842105,0.05557219020090343,38
1.0,5.0,1.23,-160,0.13157894736842105,0.05557219020090343,38
1.0,5.0,1.23,-120,0.1891891891891892,0.06527647182968215,37
1.0,5.0,1.23,-80,0.47368421052631576,0.08208556498579521,38
1.0,5.0,1.23,-40,0.8157894736842105,0.06373021861834363,38
1.0,5.0,1.23,0,0.8421052631578947,0.05994682078436836,38
1.0,5.0,1.23,40,0.7894736842105263,0.06702258315442244,38
1.0,5.0,1.23,80,0.918918918918919,0.04549326548811749,37
1.0,5.0,1.23,120,0.9736842105263158,0.02631578947368421,38
1.0,5.0,1.23,160,0.9736842105263158,0.02631578947368421,38
1.0,5.0,1.23,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.03,-200,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.03,-160,0.02702702702702703,0.027027027027027025,37
1.0,15.0,0.03,-120,0.05263157894736842,0.03670978065594293,38
1.0,15.0,0.03,-80,0.07894736842105263,0.04433127181293719,38
1.0,15.0,0.03,-40,0.32432432432432434,0.07802030664724673,37
1.0,15.0,0.03,0,0.868421052631579,0.05557219020090343,38
1.0,15.0,0.03,40,0.9473684210526315,0.03670978065594293,38
1.0,15.0,0.03,80,1.0,0.0,38
1.0,15.0,0.03,120,1.0,0.0,38
1.0,15.0,0.03,160,0.9473684210526315,0.03670978065594293,38
1.0,15.0,0.03,200,1.0,0.0,38
1.0,15.0,0.22,-200,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.22,-160,0.05263157894736842,0.03670978065594293,38
1.0,15.0,0.22,-120,0.07894736842105263,0.04433127181293719,38
1.0,15.0,0.22,-80,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.22,-40,0.5405405405405406,0.0830589590747107,37
1.0,15.0,0.22,0,0.9459459459459459,0.03768738858261601,37
1.0,15.0,0.22,40,1.0,0.0,37
1.0,15.0,0.22,80,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.22,120,1.0,0.0,37
1.0,15.0,0.22,160,1.0,0.0,38
1.0,15.0,0.22,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,-200,0.0,0.0,38
1.0,15.0,1.23,-160,0.02631578947368421,0.02631578947368421,38
1.0,15.0,1.23,-120,0.07894736842105263,0.04433127181293719,38
1.0,15.0,1.23,-80,0.2631578947368421,0.07239266372688177,38
1.0,15.0,1.23,-40,0.7894736842105263,0.06702258315442246,38
1.0,15.0,1.23,0,0.8947368421052632,0.05045276771256956,38
1.0,15.0,1.23,40,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,80,0.972972972972973,0.027027027027027025,37
1.0,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,200,1.0,0.0,38
1.0,15.0,4.7,-200,0.0,0.0,38
1.0,15.0,4.7,-160,0.02702702702702703,0.02702702702702702,37
1.0,15.0,4.7,-120,0.07894736842105263,0.04433127181293718,38
1.0,15.0,4.7,-80,0.7105263157894737,0.07455791696866065,38
1.0,15.0,4.7,-40,0.9210526315789473,0.044331271812937195,38
1.0,15.0,4.7,0,1.0,0.0,38
1.0,15.0,4.7,40,1.0,0.0,38
1.0,15.0,4.7,80,0.9459459459459459,0.03768738858261602,37
1.0,15.0,4.7,120,1.0,0.0,38
1.0,15.0,4.7,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,200,1.0,0.0,38
1.0,25.0,1.23,-200,0.0,0.0,38
1.0,25.0,1.23,-160,0.02702702702702703,0.027027027027027025,37
1.0,25.0,1.23,-120,0.05405405405405406,0.03768738858261602,37
1.0,25.0,1.23,-80,0.2631578947368421,0.07239266372688179,38
1.0,25.0,1.23,-40,0.9473684210526315,0.03670978065594293,38
1.0,25.0,1.23,0,0.9736842105263158,0.02631578947368421,38
1.0,25.0,1.23,40,0.972972972972973,0.027027027027027025,37
1.0,25.0,1.23,80,0.9459459459459459,0.03768738858261602,37
1.0,25.0,1.23,120,0.972972972972973,0.027027027027027025,37
1.0,25.0,1.23,160,0.9736842105263158,0.02631578947368421,38
1.0,25.0,1.23,200,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,-200,0.02631578947368421,0.026315789473684206,38
3.0,15.0,1.23,-160,0.0,0.0,38
3.0,15.0,1.23,-120,0.05263157894736842,0.03670978065594293,38
3.0,15.0,1.23,-80,0.3157894736842105,0.07641750223933595,38
3.0,15.0,1.23,-40,0.8421052631578947,0.05994682078436835,38
3.0,15.0,1.23,0,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,40,1.0,0.0,38
3.0,15.0,1.23,80,0.9459459459459459,0.037687388582616034,37
3.0,15.0,1.23,120,1.0,0.0,38
3.0,15.0,1.23,160,1.0,0.0,38
3.0,15.0,1.23,200,1.0,0.0,38
