TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,15.0,1.23,-200,0.06802721088435375,0.02083850319731358,147
0.5,15.0,1.23,-160,0.08904109589041095,0.02365160621986644,146
0.5,15.0,1.23,-120,0.1506849315068493,0.029708814775001518,146
0.5,15.0,1.23,-80,0.43243243243243246,0.040861024109105644,148
0.5,15.0,1.23,-40,0.7671232876712328,0.03510036341139227,146
0.5,15.0,1.23,0,0.8979591836734694,0.025051794036589154,147
0.5,15.0,1.23,40,0.9387755102040817,0.01984115890291194,147
0.5,15.0,1.23,80,0.958904109589041,0.016485525145597688,146
0.5,15.0,1.23,120,0.9527027027027027,0.017508066744418006,148
0.5,15.0,1.23,160,0.9659863945578231,0.015001525056491867,147
0.5,15.0,1.23,200,0.9795918367346939,0.011701677124101957,147
1.0,5.0,1.23,-200,0.10810810810810811,0.02561100224212664,148
1.0,5.0,1.23,-160,0.14189189189189189,0.028780022231420028,148
1.0,5.0,1.23,-120,0.272108843537415,0.036832239154550236,147
1.0,5.0,1.23,-80,0.4965986394557823,0.04137933694080423,147
1.0,5.0,1.23,-40,0.75,0.03571428571428571,148
1.0,5.0,1.23,0,0.8445945945945946,0.029881234911529463,148
1.0,5.0,1.23,40,0.821917808219178,0.031771699047331584,146
1.0,5.0,1.23,80,0.910958904109589,0.023651606219866436,146
1.0,5.0,1.23,120,0.9523809523809523,0.017624600242800128,147
1.0,5.0,1.23,160,0.9324324324324325,0.020702326823867967,148
1.0,5.0,1.23,200,0.9659863945578231,0.015001525056491865,147
1.0,15.0,0.03,-200,0.047619047619047616,0.017624600242800128,147
1.0,15.0,0.03,-160,0.06164383561643835,0.01997306343759737,146
1.0,15.0,0.03,-120,0.11564625850340136,0.02646685720141917,147
1.0,15.0,0.03,-80,0.23972602739726026,0.035453462375110385,146
1.0,15.0,0.03,-40,0.5342465753424658,0.04142522736934774,146
1.0,15.0,0.03,0,0.8435374149659864,0.03006637002185351,147
1.0,15.0,0.03,40,0.891156462585034,0.025775190069846857,147
1.0,15.0,0.03,80,0.9864864864864865,0.009522939888641403,148
1.0,15.0,0.03,120,1.0,0.0,147
1.0,15.0,0.03,160,0.9864864864864865,0.009522939888641403,148
1.0,15.0,0.03,200,0.9931972789115646,0.006802721088435374,147
1.0,15.0,0.22,-200,0.02702702702702703,0.01337490971095658,148
1.0,15.0,0.22,-160,0.060810810810810814,0.019710982487125613,148
1.0,15.0,0.22,-120,0.12837837837837837,0.027589972833892765,148
1.0,15.0,0.22,-80,0.25675675675675674,0.036030290036472123,148
1.0,15.0,0.22,-40,0.6506849315068494,0.039592236387765,146
1.0,15.0,0.22,0,0.8835616438356164,0.026636825090156375,146
