TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,-15.0,1.23,-200,0.06756756756756757,0.029377605714932784,74
0.5,-15.0,1.23,-160,0.0821917808219178,0.03236860017981238,73
0.5,-15.0,1.23,-120,0.136986301369863,0.040521094404791895,73
0.5,-15.0,1.23,-80,0.3918918918918919,0.05713629906375232,74
0.5,-15.0,1.23,-40,0.726027397260274,0.05256102480922984,73
0.5,-15.0,1.23,0,0.8904109589041096,0.03681396232099795,73
0.5,-15.0,1.23,40,0.9178082191780822,0.032368600179812385,73
0.5,-15.0,1.23,80,0.9452054794520548,0.026820411243083864,73
0.5,-15.0,1.23,120,0.9459459459459459,0.026465851167214394,74
0.5,-15.0,1.23,160,0.972972972972973,0.018979645491264414,74
0.5,-15.0,1.23,200,1.0,0.0,73
0.5,15.0,1.23,-200,0.0684931506849315,0.029768047512340856,73
0.5,15.0,1.23,-160,0.0958904109589041,0.03470019213143987,73
0.5,15.0,1.23,-120,0.1643835616438356,0.04367837093540866,73
0.5,15.0,1.23,-80,0.47297297297297297,0.05843501715816531,74
0.5,15.0,1.23,-40,0.8082191780821918,0.046398176787446524,73
0.5,15.0,1.23,0,0.9054054054054054,0.034252578598678016,74
0.5,15.0,1.23,40,0.9594594594594594,0.02308323388267952,74
0.5,15.0,1.23,80,0.9726027397260274,0.01923778487026566,73
0.5,15.0,1.23,120,0.9594594594594594,0.023083233882679525,74
0.5,15.0,1.23,160,0.958904109589041,0.023394864762464832,73
0.5,15.0,1.23,200,0.9594594594594594,0.02308323388267952,74
1.0,-25.0,1.23,-200,0.02702702702702703,0.018979645491264414,74
1.0,-25.0,1.23,-160,0.0684931506849315,0.029768047512340856,73
1.0,-25.0,1.23,-120,0.0945945945945946,0.03425257859867801,74
1.0,-25.0,1.23,-80,0.40540540540540543,0.05746373039227157,74
1.0,-25.0,1.23,-40,0.9459459459459459,0.026465851167214394,74
1.0,-25.0,1.23,0,0.9594594594594594,0.023083233882679525,74
1.0,-25.0,1.23,40,0.9863013698630136,0.0136986301369863,73
1.0,-25.0,1.23,80,0.958904109589041,0.023394864762464832,73
1.0,-25.0,1.23,120,1.0,0.0,74
1.0,-25.0,1.23,160,0.9864864864864865,0.013513513513513513,74
1.0,-25.0,1.23,200,1.0,0.0,74
1.0,-15.0,0.03,-200,0.0684931506849315,0.02976804751234086,73
1.0,-15.0,0.03,-160,0.06756756756756757,0.02937760571493278,74
1.0,-15.0,0.03,-120,0.08108108108108109,0.03194750389456442,74
1.0,-15.0,0.03,-80,0.1643835616438356,0.04367837093540867,73
1.0,-15.0,0.03,-40,0.4931506849315068,0.058920036075634424,73
1.0,-15.0,0.03,0,0.821917808219178,0.04508771154824544,73
1.0,-15.0,0.03,40,0.8904109589041096,0.03681396232099795,73
1.0,-15.0,0.03,80,1.0,0.0,74
1.0,-15.0,0.03,120,1.0,0.0,73
1.0,-15.0,0.03,160,1.0,0.0,74
1.0,-15.0,0.03,200,1.0,0.0,74
1.0,-15.0,0.22,-200,0.02702702702702703,0.018979645491264414,74
1.0,-15.0,0.22,-160,0.06756756756756757,0.02937760571493278,74
1.0,-15.0,0.22,-120,0.14864864864864866,0.04163642831779319,74
1.0,-15.0,0.22,-80,0.21621621621621623,0.04818155789706757,74
1.0,-15.0,0.22,-40,0.6027397260273972,0.05766817780965794,73
1.0,-15.0,0.22,0,0.8767123287671232,0.03874557705131767,73
1.0,-15.0,0.22,40,0.9324324324324325,0.029377605714932784,74
1.0,-15.0,0.22,80,0.9863013698630136,0.0136986301369863,73
1.0,-15.0,0.22,120,1.0,0.0,73
1.0,-15.0,0.22,160,1.0,0.0,74
1.0,-15.0,0.22,200,0.972972972972973,0.018979645491264414,74
1.0,-15.0,1.23,-200,0.02702702702702703,0.018979645491264418,74
1.0,-15.0,1.23,-160,0.08108108108108109,0.03194750389456442,74
1.0,-15.0,1.23,-120,0.12162162162162163,0.038254698480476544,74
1.0,-15.0,1.23,-80,0.32432432432432434,0.05478951716752588,74
1.0,-15.0,1.23,-40,0.8243243243243243,0.04453930581352028,74
1.0,-15.0,1.23,0,0.9324324324324325,0.029377605714932784,74
1.0,-15.0,1.23,40,0.958904109589041,0.02339486476246484,73
1.0,-15.0,1.23,80,0.9583333333333334,0.023715020365230932,72
1.0,-15.0,1.23,120,1.0,0.0,74
1.0,-15.0,1.23,160,0.972972972972973,0.018979645491264414,74
1.0,-15.0,1.23,200,0.9864864864864865,0.013513513513513514,74
1.0,-15.0,4.7,-200,0.0136986301369863,0.013698630136986299,73
1.0,-15.0,4.7,-160,0.05405405405405406,0.026465851167214387,74
1.0,-15.0,4.7,-120,0.0945945945945946,0.03425257859867801,74
1.0,-15.0,4.7,-80,0.7671232876712328,0.04981147084308546,73
1.0,-15.0,4.7,-40,0.8648648648648649,0.04001260595662731,74
1.0,-15.0,4.7,0,0.972972972972973,0.018979645491264414,74
